text,question,answer
computerfacultymembers: who are the faculty members of computer department,who are the faculty members of computer department,"{'text': 'कम्प्युटरको संकाय सदस्य:', 'table': {'headers': ['नाम', 'संकाय स्थिति'], 'rows': [['Er. सुदीप शाक्य', 'एचओडी / एसोसिएट प्रोफेसर'], ['Er. कुञ्जन अमात्य', 'उप.एचओडी/एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Er. महेश सिंह कठायत', 'अकादमिक सलाहकार / एसोसिएट प्रोफेसर'], ['Er. श्याम दाहाल', 'होस्टल वार्डेन/एसोसिएट प्रोफेसर'], ['Er. श्रीकृष्ण सुलु', 'उप परीक्षा प्रमुख / एसोसिएट प्रोफेसर'], ['Er. नवीन न्यौपाने', 'तृतीय वर्ष संयोजक/एसोसिएट प्रोफेसर'], ['Er. शरदचन्द्र जोशी', 'एसोसिएट प्रोफेसर/मेजर प्रोजेक्ट कोअर्डिनेटर'], ['Er. अञ्जु खनाल', 'सिनियर लेक्चरर'], ['Er. शरद न्यौपाने', 'वरिष्ठ लेक्चरर/प्रथम वर्ष संयोजक'], ['Er. रितु बज्राचार्य', 'लेक्चरर/द्वितीय वर्ष संयोजक'], ['Er. कृष्ट ब्याञ्जु', 'सहायक लेक्चरर/माइनर प्रोजेक्ट कोअर्डिनेटर']]}}"
civilfacultymembers: who are the faculty members of civil department,who are the faculty members of civil department,"{'text': 'सिविलको संकाय सदस्य:', 'table': {'headers': ['नाम', 'संकाय स्थिति'], 'rows': [['Er. अर्जुन पौडेल', 'एचओडी/एसोसिएट प्रोफेसर'], ['Er. रमेश काफ्ले', 'उप.एच.ओ.डी./एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Er. ईश्वर अधिकारी', 'एसोसिएट प्रोफेसर/स्पोर्ट्स चिफ'], ['Er. विमल भट्टराई', 'एसोसिएट प्रोफेसर/प्लेसमेन्ट को-अर्डिनेटर'], ['Er. राजन न्हेमाफुक', 'सिनियर लेक्चरर/चौथो वर्षको को-अर्डिनेटर'], ['Er. हर्षितकेश कुमार कर्ण', 'सिनियर लेक्चरर/सेकेन्ड इयर को-अर्डिनेटर'], ['Er. निमेश कार्की', 'लेक्चरर/थर्ड इयर को-अर्डिनेटर'], ['Er. सुमोना बज्राचार्य', 'लेक्चरर/प्रथम वर्षको को-अर्डिनेटर'], ['Er. अभिषेक भट्टराई', 'लेक्चरर/ल्याब को-अर्डिनेटर'], ['Er. अभिषेक भट्टराई', 'लेक्चरर/ल्याब को-अर्डिनेटर'], ['Er. शान्तोष खड्का', 'लेक्चरर'], ['Er. विक्रम शाह', 'लेक्चरर'], ['Er. अभिषेक पौडेल', 'लेक्चरर']]}}"
electricalfacultymembers: who are the faculty members of electrical department,who are the faculty members of electrical department,"{'text': 'इलेक्ट्रिकलको संकाय सदस्य:', 'table': {'headers': ['नाम', 'संकाय स्थिति'], 'rows': [['Er. विनोद भण्डारी', 'एचओडी /एसोसिएट प्रोफेसर'], ['Er. जलालुद्दीन रायन', 'सीनियर लेक्चरर'], ['Er. मनोज राज ढुङ्गाना', 'वरिष्ठ व्याख्याता /तृतीय र चौथो वर्ष संयोजक'], ['Er. बैजनाथ अग्रहरी', 'लेक्चरर/प्रथम एवं द्वितीय वर्ष समन्वयक'], ['Er. चित्रबहादुर खड्का', 'चीफ लैब ईन्चार्ज']]}}"
electronicsfacultymembers: who are the faculty members of electronics department,who are the faculty members of electronics department,"{'text': 'इलेक्ट्रोनिक्सको संकाय सदस्य:', 'table': {'headers': ['नाम', 'संकाय स्थिति'], 'rows': [['Er. राजन लामा', 'एचओडी/एसोसिएट प्रोफेसर'], ['Er. सुराम्य शर्मा दाहाल', 'उप.एचओडी एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Er. सगुन मानन्धर', 'एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Er. अनमोलरत्न बज्राचार्य', 'एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Er. स्मृति नकर्मी', 'द्वितीय र तृतीय वर्ष संयोजक/एसोसिएट प्रोफेसर'], ['Er. रवि पौडेल', 'प्रथम र चौथो वर्ष संयोजक'], ['Er. रवि पौडेल', 'एसोसिएट प्रोफेसर'], ['Er. गौरव गौतम', 'ल्याब कोअर्डिनेटर/एसोसिएट प्रोफेसर'], ['Er. सुजन श्रेष्ठ', 'माइनर प्रोजेक्ट कोअर्डिनेटर/सिनियर लेक्चर'], ['Dr. दीपेन मानन्धर', 'मेजर प्रोजेक्ट कोअर्डिनेटर/सिनियर लेक्चरर'], ['Er.. पुष्पा धमला', ' एसोसिएट प्रोफेसर'], ['Er. रुबी कुमारी महतो', 'वरिष्ठ व्याख्याता'], ['Er. धावा साङ दोङ', 'लेक्चरर/ रिसर्च मेम्बर'], ['Er. सरिना बाराही', 'लेक्चरर']]}}"
architecturefacultymembers: who are the faculty members of architecture department,who are the faculty members of architecture department,"{'text': 'आर्किटेक्चरको संकाय सदस्य:', 'table': {'headers': ['Name', 'Position'], 'rows': [['Ar. शैलिता मानन्धर', 'भाइस प्रिन्सिपल/एसोसिएट प्रोफेसर'], ['Ar. मुन सिंह डंगोल', 'एचओडी / एसोसिएट प्रोफेसर'], ['Ar. स्वेता श्रेष्ठ', 'उप.एचओडी/एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Ar. कैलाश श्रेष्ठ', 'एसोसिएट प्रोफेसर'], ['Ar. सुवास फुयाल', 'एसोसिएट प्रोफेसर/चौथो र पाँचौं वर्षको संयोजक/थेसिस को-अर्डिनेटर'], ['Ar. प्रनिता शर्मा पाण्डे', 'एसोसिएट प्रोफेसर/रिसर्च मेम्बर'], ['Ar. सुचिता बज्राचार्य', 'एसोसिएट प्रोफेसर/दोस्रो र तेस्रो वर्षको संयोजक'], ['Ar. प्रतिभा मानन्धर', 'एसोसिएट प्रोफेसर / प्रथम वर्ष समन्वयक'], ['Ar. सगुन महर्जन', 'वरिष्ठ व्याख्याता']]}}"
attendance: attendance kati samma hunu parcha,attendance kati samma hunu parcha,"IOE अन्तिम परीक्षामा भाग लिनको लागि, विद्यार्थीहरूले न्यूनतम 75% उपस्थिति कायम गर्नुपर्छ।"
disqualification: nq kasari lagcha,nq kasari lagcha,"एउटा विद्यार्थीलाई परीक्षामा उपस्थित हुन प्रतिबन्ध लगाइनेछ यदि उसले/उनी • पूरै सेमेस्टरको लागि न्यूनतम 75% उपस्थिति कायम राख्दैनन्।
• विद्यार्थीले सेमेस्टरमा दिइने परीक्षाहरू पास गर्न असफल भए।विषय प्रश्नमा शिक्षकले अयोग्यताको लागि सिफारिस गर्नुपर्छ।"
idcard: परिचयपत्र,परिचयपत्र,विद्यार्थीहरूले कलेजको वातावरणमा हुँदा सधैं आफ्नो परिचयपत्र साथमा राख्न अनिवार्य छ।
uniform: kec पोशाक,kec पोशाक," विद्यार्थीहरूको लागि आवश्यक पोशाक निम्नानुसार छ:
सेतो शर्ट; नेवी नीलो प्यान्ट; कालो जुत्ता; कलेज टाई; नेवी नीलो कोट, ज्याकेट र स्वेटर"
clubsintro: काठमाडौं इन्जिनियरिङ कलेजमा कस्ता क्लबहरू छन्?,काठमाडौं इन्जिनियरिङ कलेजमा कस्ता क्लबहरू छन्?,"केईसीमा उपस्थित क्लबहरू हुन्: केईसी इलेक्ट्रिकल क्लब, रोबोटिक्स क्लब, इलेक्ट्रोनिक्स प्रोजेक्ट क्लब, (ईपीसी), AKAR (केईसी आर्किटेक्चरको संघ), केईसी आईटी क्लब, सीईएसए-केईसी, केईसी योग क्लब"
electricalclub: electrical club vaneko k ho,electrical club vaneko k ho,"केईसी इलेक्ट्रिकल क्लब इलेक्ट्रिकल इन्जिनियरिङका विद्यार्थीहरूका लागि हो जो यस क्षेत्रको बारेमा थप जान्न चाहन्छन्। कार्यशालाहरू, सफ्टवेयर सिमुलेशन तालिमहरू, व्याख्यान कार्यक्रमहरू, र वार्षिक जर्नल SYNERGY को छाप्ने गतिविधिहरू हुन्।"
roboticsclub: roboticsclub vaneko k ho,roboticsclub vaneko k ho,काठमाडौं इन्जिनियरिङ कलेज (केईसी) रोबोटिक्स क्लब रोबोटिक्समा रुचि राख्ने सक्रिय र उत्साही वरिष्ठहरूद्वारा सिर्जना गरिएको विद्यार्थीद्वारा सञ्चालित क्लब हो। रोबोटिक्स क्लब रोबोटिक्सको ज्ञान र प्रविधिको परिचय दिन अग्रगामी भएको छ।
epclub: इलेक्ट्रोनिक्स परियोजना क्लब के हो,इलेक्ट्रोनिक्स परियोजना क्लब के हो,"Electronics Project Club (EPC) विद्यार्थी र इलेक्ट्रोनिक काठमाडौं इन्जिनियरिङ कलेजका लागि खुला मञ्च हो। क्लबको उद्देश्य इलेक्ट्रोनिक उपकरणहरूसँग काम गर्नका लागि प्रारम्भिक प्रशिक्षण, हार्डवेयर/सफ्टवेयर डिजाइन र मर्मतसम्भार, र इम्बेडेड सिस्टम डिजाइन, स्वचालन, र स्वायत्त रोबोटिक्समा कार्यशालाहरू प्रदान गर्नु हो।"
akarclub: अकार क्लब के हो,अकार क्लब के हो,"AKAR आफ्नो सक्रिय प्रतिबद्धता र शैक्षिक र गैर-शैक्षिक अभियानहरूको दायरामा सहभागिताको लागि परिचित छ। AKAR ले विद्यार्थीहरूको रचनात्मक विचारहरूलाई वास्तविकतामा बढ्नको लागि वातावरण प्रदान गर्दछ। AKAR ले विद्यार्थीहरूलाई प्रदर्शनी, कार्यशालाहरू र चुनौतीहरू मार्फत आफ्नो रचनात्मकतालाई उजागर गर्ने र सुधार गर्ने अवसर प्रदान गर्दछ।"
itclub: केईसी it क्लब के हो,केईसी it क्लब के हो,"KEC IT Club एक विद्यार्थी समूह हो जसले विद्यार्थीहरूलाई कम्प्युटर कम्पनीमा नवीनतम प्रविधिहरू सिक्ने अवसर प्रदान गर्दछ। यस क्लबको प्रमुख लक्ष्य भनेको IT क्षेत्रमा विचारहरू साझा गर्नु र प्रेरणादायी सहकार्य हो, जसले विद्यार्थीहरूलाई समग्र रूपमा सफ्टवेयर उद्योगको सम्भावना र भविष्य बुझ्ने अनुमति दिन्छ।"
cesaclub: CESA-KEC के हो,CESA-KEC के हो,"सिभिल इन्जिनियरिङ विद्यार्थी संघ (CESA) सिभिल इन्जिनियरिङका विद्यार्थीहरूको गैर-लाभकारी, गैर-राजनीतिक संस्था हो CESA कुनै पनि सिभिल इन्जिनियरिङका विद्यार्थीहरूका लागि खुला छ। CESA लाई समर्थन गर्ने विद्यार्थीहरू पनि सदस्य बन्न सक्छन्।"
yogaclub: योग क्लब के हो,योग क्लब के हो,केईसीको एक अत्यावश्यक अंश योग हो। केईसीले योग र ध्यानको माध्यमबाट तपाईंको व्यक्तित्वलाई कसरी सुधार गर्ने र जीवन सीपहरू विकास गर्ने भन्ने बारे धेरै कार्यक्रमहरू सञ्चालन गर्दछ।
boyshostel: kecमा boys होस्टेल छ?,kecमा boys होस्टेल छ?,"केईसीको परिसरमा आधुनिक केटाहरूको होस्टेल छ। वार्डन, गार्ड र सेवा कर्मचारीहरूको साथमा, यसमा बलियो सुरक्षा व्यवस्था छ।"
girlshostel: kecमा girls होस्टेल छ?,kecमा girls होस्टेल छ?,"केईसीमा केटीहरूको छात्रावास छ। यो होस्टेल उत्कृष्ट वातावरणको कारणले अध्ययन र ध्यान केन्द्रित गर्नको लागि उत्कृष्ट स्थान हो। वार्डन, गार्ड र सेवा कर्मचारीहरूले भरिपूर्ण छ, यसमा उत्कृष्ट सुरक्षा व्यवस्था छ।"
projectinfo: project kun kun sem ma huncha,project kun kun sem ma huncha,"प्रोजेक्ट IOE भित्र छ जसलाई केहि फ्याकल्टीमा लागि माइनर र अन्यका लागि मात्र प्रमुख नाम छ, कृपया सम्बन्धित संकाय बारे सोध्नुहोस्"
computerprojects: computer ma kati wota project haru garnu parcha,computer ma kati wota project haru garnu parcha,"हामीसँग कम्प्युटर इन्जिनियरिङ फ्याकल्टीमा दुईवटा प्रोजेक्टहरू छन्: माइनर प्रोजेक्टहरू र प्रमुख प्रोजेक्टरू। पाँचौं र छैटौं सेमेस्टरहरू माइनर प्रोजेक्टको लागि प्रयोग गरिएको छ, र सातौं र आठौं सेमेस्टरहरू प्रमुख परियोजनाहरूमा प्रयोग गरिएको छ।."
electronicsprojects: electronics ma kati wota project haru garnu parcha,electronics ma kati wota project haru garnu parcha,"हामीसँग इलेक्ट्रोनिक्स इन्जिनियरिङ फ्याकल्टीमा दुईवटा प्रोजेक्टहरू छन्: माइनर प्रोजेक्टहरू र प्रमुख प्रोजेक्टहरू पाँचौं र छैटौं सेमेस्टरहरू माइनर प्रोजेक्टहरूको लागि प्रयोग गरिएको छ, र सातौं र आठौं सेमेस्टरहरू प्रमुख प्रोजेक्टहरूमा प्रयोग गरिएको छ।."
electricalprojects: electrical ma kati wota project haru garnu parcha,electrical ma kati wota project haru garnu parcha,हामीसँग इलेक्ट्रिकल इन्जिनियरिङ फ्याकल्टीमा एउटा प्रोजेक्ट छ: प्रमुख प्रोजेक्ट सातौं र आठौं सेमेस्टरहरू प्रमुख प्रोजेक्टहरूको लागि प्रयोग गरिएको छ।
civilprojects: civil ma kati wota project haru garnu parcha,civil ma kati wota project haru garnu parcha,हामीसँग सिभिल फ्याकल्टीमा एउटा प्रोजेक्ट छ: प्रमुख प्रोजेक्ट सातौं र आठौं सेमेस्टरहरू प्रमुख प्रोजेक्टहरूमा प्रयोग गरिएको छ।
defenseproject: हामीसँग एउटा प्रोजेक्ट मा ​​कति डिफेन्स छ,हामीसँग एउटा प्रोजेक्ट मा ​​कति डिफेन्स छ,"हामीसँग प्रस्ताव डिफेन्स, मध्य-अवधि डिफेन्स, पूर्व-अन्तिम डिफेन्स, र फाइनल डिफेन्स प्रोजेक्ट बीचको विशेष अन्तरालहरूमा लिइन्छ।"
proposalreportproject: proposal ma k k bisaya huncha,proposal ma k k bisaya huncha,"प्रस्ताव प्रतिवेदन ढाँचा

Cover page
Abstract 
Table of Contents
List of Figures
List of Tables
Abbreviations
Chapters include the following heading
1.Introduction
2.Literature Review
3.Methodology
4.Epilogue
References
Biblography
For subtopics of the chapter please ask about the respected ones."
adt: adt को लागि पूर्ण अंक र पास अंक के हो,adt को लागि पूर्ण अंक र पास अंक के हो,मूल्यांकनको लागि पूर्ण अंक 20 र एक मूल्याङ्कनको लागि 8 अंकहरू छन्।
parking: पार्किङ कहाँ छ,पार्किङ कहाँ छ,केईसीको पार्किङ ब्लक 'F' को बेसमेन्टमा अवस्थित छ।
chairmanofficelocation: अध्यक्षको कार्यालय कहाँ छ,अध्यक्षको कार्यालय कहाँ छ,केईसीको अध्यक्षको कार्यालय ब्लक एफमा अवस्थित छ।
principallocation: अध्यक्षको कार्यालय कहाँ छ,अध्यक्षको कार्यालय कहाँ छ,केईसी अध्यक्षको कार्यालय ब्लक एफ मा अवस्थित छ।
viceprincipallocation: उपप्रमुखको कार्यालय कहाँ छ,उपप्रमुखको कार्यालय कहाँ छ,केईसी उप-प्रमुख कार्यालय ब्लक एफ मा स्थित छ।
computerdepartlocation: कम्प्युटर विभाग कहाँ छ,कम्प्युटर विभाग कहाँ छ,केईसी कम्प्युटर इन्जिनियरिङ विभाग ब्लक एफ मा स्थित छ।
civildepartlocation: सिभिल विभाग कहाँ छ,सिभिल विभाग कहाँ छ,केईसी सिभिल इन्जिनियरिङ विभाग ब्लक F मा स्थित छ।
electricaldepartlocation: इलेक्ट्रिकल विभाग कहाँ छ,इलेक्ट्रिकल विभाग कहाँ छ,केईसी इलेक्ट्रिकल इन्जिनियरिङ विभाग ब्लक 'एफ' मा स्थित छ।
conferencehallslocation: कन्फ्रेन्सहल कहाँ छ,कन्फ्रेन्सहल कहाँ छ,केईसी सम्मेलन हल ब्लक 'एफ' मा अवस्थित छ।
electronicsdepartlocation: इलेक्ट्रोनिक्स विभाग कहाँ छ,इलेक्ट्रोनिक्स विभाग कहाँ छ,केईसी इलेक्ट्रोनिक्स इन्जिनियरिङ विभाग ब्लक 'ई' मा स्थित छ।
architecturedepartlocation: वास्तुकला विभाग कहाँ छ,वास्तुकला विभाग कहाँ छ,केईसी वास्तुकला विभाग ब्लक 'ई' मा स्थित छ।
appliedsciencedepartlocation: उपयुक्त विज्ञान विभाग कहाँ छ,उपयुक्त विज्ञान विभाग कहाँ छ,केईसी लागू विज्ञान विभाग ब्लक 'ई' मा स्थित छ।
accountsectionlocation: खाता खण्ड कहाँ अवस्थित छ,खाता खण्ड कहाँ अवस्थित छ,KEC खाता खण्ड ब्लक E मा अवस्थित छ।
canteenlocation: क्यान्टीन कहाँ छ,क्यान्टीन कहाँ छ,केईसी क्यान्टिन ब्लक 'ई' मा अवस्थित छ।
guidanceandcontrollingunitlocation: निर्देशन र नियन्त्रण इकाई कहाँ अवस्थित छ,निर्देशन र नियन्त्रण इकाई कहाँ अवस्थित छ,केईसी मार्गदर्शन र नियन्त्रण इकाई ब्लक E मा स्थित छ।
computerlablocation: कम्प्युटर ल्याब कहाँ छ,कम्प्युटर ल्याब कहाँ छ,केईसी कम्प्युटर ल्याब ब्लक E मा अवस्थित छ।
edclocation: Edc ल्याब कहाँ छ,Edc ल्याब कहाँ छ,KEC Edc प्रयोगशाला ब्लक 'ई' मा स्थित छ।
digitallogiclocation: डिजिटल logic ल्याब कहाँ छ,डिजिटल logic ल्याब कहाँ छ,केईसी डिजिटल लोजिक प्रयोगशाला ब्लक 'ई' मा अवस्थित छ।
bellablocation: bel ल्याब कहाँ छ,bel ल्याब कहाँ छ,केईसी बेल प्रयोगशाला ब्लक 'ई' मा अवस्थित छ।
communicationlablocation: सञ्चार ल्याब कहाँ छ,सञ्चार ल्याब कहाँ छ,केईसी सञ्चार प्रयोगशाला ब्लक 'ई' मा अवस्थित छ।
projectlablocation: प्रोजेक्ट ल्याब कहाँ छ,प्रोजेक्ट ल्याब कहाँ छ,केईसी प्रोजेक्ट प्रयोगशाला ब्लक 'ई' मा अवस्थित छ।
physicslablocation: भौतिक विज्ञान ल्याब कहाँ छ,भौतिक विज्ञान ल्याब कहाँ छ,केईसी भौतिकी प्रयोगशाला ब्लक 'ई' मा अवस्थित छ।
seminarhallslocation: यो कलेजको सेमिनारहल कहाँ छ,यो कलेजको सेमिनारहल कहाँ छ,केईसी सेमिनार हल ब्लक 'ई' मा अवस्थित छ।
powerlablocation: पावर ल्याब कहाँ छ,पावर ल्याब कहाँ छ,केईसी पावर ल्याब ब्लक 'डी' मा अवस्थित छ।
thermolablocation: थर्मो ल्याब कहाँ छ,थर्मो ल्याब कहाँ छ,केईसी थर्मो ल्याब ब्लक 'डी' मा अवस्थित छ।
workshoplablocation: कार्यशाला ल्याब कहाँ छ,कार्यशाला ल्याब कहाँ छ,केईसी कार्यशाला प्रयोगशाला ब्लक 'डी' मा अवस्थित छ।
administrationlocation: प्रशासन कहाँ छ,प्रशासन कहाँ छ,केईसी प्रशासन ब्लक 'डी' मा स्थित छ।
examsectionlocation: परीक्षा शाखा कहाँ छ,परीक्षा शाखा कहाँ छ,केईसी परीक्षा सेक्शन ब्लक 'डी'  ` मा अवस्थित छ।
stationarylocation: स्टेशनरी कहाँ छ,स्टेशनरी कहाँ छ,केईसी स्टेशनरी ब्लक 'डी' मा अवस्थित छ।
carpentrylocation: सिकर्मी कहाँ छ,सिकर्मी कहाँ छ,केईसी सिकर्मी ब्लक 'डी' मा अवस्थित छ।
chemistrylablocation: रसायन ल्याब कहाँ छ,रसायन ल्याब कहाँ छ,केईसी रसायन प्रयोगशाला ब्लक 'डी' मा स्थित छ।
hydroicslablocation: हाइड्रोिक्स ल्याब कहाँ छ,हाइड्रोिक्स ल्याब कहाँ छ,केईसी हाइड्रोिक्स प्रयोगशाला ब्लक 'सी' मा अवस्थित छ।
surveylablocation: सर्वेक्षण ल्याब कहाँ छ,सर्वेक्षण ल्याब कहाँ छ,केईसी सर्वेक्षण प्रयोगशाला ब्लक 'सी' मा अवस्थित छ।
geologylablocation: भूविज्ञान ल्याब कहाँ छ,भूविज्ञान ल्याब कहाँ छ,केईसी भूविज्ञान प्रयोगशाला ब्लक 'सी' मा अवस्थित छ।
